Step,Time,Position_X,Position_Y,Position_Z,Tracking_Error_Norm,Control_Input_X,Control_Input_Y,Control_Input_Z
1.5100000000000005,9.4443494,0.24948741,2.245788,8.294228,2.4662187,-9.069099,6.1323347,-2.9618518
1.5200000000000005,9.624019177,0.5025726,2.4420934,8.361121,2.6206844,-16.99265,1.5159588,-4.5891876
1.5300000000000005,9.805678839,0.6926344,2.6628664,8.359675,2.7062812,-24.281185,-3.9046905,-4.994785
1.5400000000000005,9.984141276,0.777033,2.9195535,8.316848,2.65647,-30.006815,-10.374707,-4.673307
1.5500000000000005,10.166995798,0.71610314,3.1322048,8.201143,2.4470315,-32.80432,-16.324213,-2.8155236
1.5600000000000005,10.363724318,0.49805555,3.2662358,8.103046,2.2793987,-32.4546,-20.954367,-1.2119317
1.5700000000000005,10.548525773,0.20817013,3.298754,8.054172,2.1472952,-30.467846,-23.695421,-0.5416448
1.5800000000000005,10.735388861,-0.113337174,3.2567127,8.057748,2.0409088,-27.762234,-25.112247,-0.92347974
1.5900000000000005,10.924861824,-0.4868498,3.1531336,8.104143,1.9229836,-23.90698,-25.397854,-2.2391958
1.6000000000000005,11.109222694,-0.82146865,3.0089147,8.158131,1.8216254,-20.144575,-24.621178,-3.7676098
1.6100000000000005,11.29554764,-1.1357042,2.8516743,8.174229,1.7567912,-15.218077,-22.935677,-4.353578
1.6200000000000006,11.481334403,-1.4716452,2.6398618,8.193542,1.6869583,-8.294741,-19.49217,-4.687998
1.6300000000000006,11.662055831,-1.7309005,2.4527628,8.172129,1.6686013,-2.5796783,-16.022808,-4.2059193
1.6400000000000006,11.841810865,-2.0099883,2.2256887,8.126867,1.6804507,3.1050868,-11.4660225,-3.367895
1.6500000000000006,12.024133013,-2.2544794,1.9817777,8.046943,1.6937249,7.831891,-6.6718426,-1.8301567
1.6600000000000006,12.217931851,-2.463823,1.668033,7.94496,1.6901821,12.191069,-0.814076,0.36923957
1.6700000000000006,12.409222748,-2.5760975,1.36598,7.907886,1.5514221,14.906518,4.7213793,1.4376804
1.6800000000000006,12.58581511,-2.5789623,1.0572066,7.8771644,1.4428029,15.2848015,10.354444,2.362874
1.6900000000000006,12.77356041,-2.442669,0.80167514,7.9408793,1.4826761,12.567434,14.784294,1.3929361
1.7000000000000006,12.954573302,-2.204238,0.65462255,8.051992,1.6180567,7.6183987,17.178635,-0.5553514
1.7100000000000006,13.134908105,-1.9366091,0.62052906,8.154011,1.7542983,1.9575663,17.26823,-2.2423315
1.7200000000000006,13.319655252,-1.6515716,0.6648104,8.196933,1.9282347,-4.793122,14.889616,-2.6568928
1.7300000000000006,13.501008647,-1.4078517,0.7881315,8.257401,2.0854895,-12.166197,9.803763,-3.7937093
1.7400000000000007,13.67803952,-1.1931094,0.97208,8.244648,2.250543,-19.53059,3.2803147,-3.8513958
1.7500000000000007,13.851970387,-1.0537306,1.1989087,8.205443,2.366439,-25.63283,-4.3977737,-3.4847884
1.7600000000000007,14.04309078,-1.0039288,1.4724329,8.146193,2.3591495,-29.927526,-13.522149,-2.6992257
1.7700000000000007,14.227222968,-1.0914122,1.7073119,8.115654,2.2594779,-30.8978,-22.063375,-2.3895874
1.7800000000000007,14.400573599,-1.2933732,1.8521243,8.06846,2.1861157,-28.486053,-28.660784,-1.6313791
1.7900000000000007,14.587857128,-1.5652993,1.9100207,8.069314,2.1318803,-23.632269,-33.331364,-1.7274848
1.8000000000000007,14.783463579,-1.9010198,1.8717949,8.087513,2.0628762,-16.436285,-35.57635,-2.0837739
1.8100000000000007,14.954122082,-2.16942,1.7852985,8.124544,2.0222452,-9.523262,-35.80679,-2.7000985
1.8200000000000007,15.147725281,-2.4731884,1.5950489,8.16305,1.9443754,-1.4072832,-33.390526,-3.2968376
1.8300000000000007,15.355071971,-2.739936,1.3495625,8.201366,1.8723711,6.0099735,-29.351736,-3.9490783
1.8400000000000007,15.541178291,-2.9616199,1.0542301,8.217176,1.7973341,12.320472,-23.624187,-4.2120786
1.8500000000000008,15.721265944,-3.0905316,0.7943924,8.215065,1.7458647,16.653118,-18.262537,-4.067001
1.8600000000000008,15.919167509,-3.1880417,0.43552747,8.19871,1.6565659,20.18421,-11.068965,-3.5398252
1.8700000000000008,16.114476259,-3.2064424,0.062976025,8.182643,1.5672768,21.475521,-3.6635513,-3.0005133
1.8800000000000008,16.305132994,-3.1363676,-0.2502778,8.165876,1.4893019,19.680738,2.3107104,-2.5714703
1.8900000000000008,16.497242655,-2.983437,-0.5480245,8.154031,1.4286547,14.845695,7.4241056,-2.4090457
1.9000000000000008,16.69869975,-2.7420313,-0.78647345,8.138602,1.4237874,7.3605103,10.55056,-2.279504
1.9100000000000008,16.869214711,-2.5078974,-0.90972316,8.124168,1.4763019,-0.089191675,10.845371,-2.1517572
1.9200000000000008,17.051703845,-2.2298014,-0.9768258,8.113303,1.5719597,-7.7429333,9.02299,-2.060321
1.9300000000000008,17.243624077,-1.903997,-0.9585875,8.0764675,1.6562941,-15.5214,4.831778,-1.4453919
1.9400000000000008,17.447875631,-1.6707442,-0.8022574,8.030588,1.7047465,-20.882511,-2.4635708,-0.6591305
1.9500000000000008,17.636337869,-1.5697082,-0.58778536,7.988775,1.7032219,-22.926727,-10.890751,0.04861632
1.9600000000000009,17.813099189,-1.6102546,-0.38815564,7.980033,1.7372731,-20.858105,-18.786713,0.16516787
1.9700000000000009,18.000235157,-1.8041725,-0.23795249,8.006398,1.7872711,-14.082499,-25.187565,-0.3360748
1.9800000000000009,18.198424954,-2.0415018,-0.19689305,8.050972,1.8379225,-5.1817846,-28.486603,-1.1739935
1.9900000000000009,18.389634622,-2.3141992,-0.25958663,8.112814,1.8559514,4.955022,-28.429934,-2.3554602
2.000000000000001,18.575901372,-2.5498757,-0.377517,8.151412,1.8600965,14.210747,-26.060041,-3.088683
2.0100000000000007,18.760730324,-2.7664912,-0.5760623,8.166522,1.820612,22.504084,-21.226871,-3.3473287
2.0200000000000005,18.943655119,-2.9139132,-0.80828166,8.17797,1.7744764,28.64539,-15.207567,-3.4950922
2.0300000000000002,19.128334953,-2.9798017,-1.0925872,8.185036,1.6772351,32.0546,-7.9768515,-3.5379367
2.04,19.307739958,-2.9486208,-1.3652011,8.190938,1.5881107,31.953869,-1.0527549,-3.586941
2.05,19.487669821,-2.834584,-1.6223079,8.197943,1.5055554,28.596289,5.0299044,-3.695384
2.0599999999999996,19.667813121,-2.633945,-1.8347138,8.194377,1.4309134,22.330856,9.269574,-3.6100185
