Time,Position_X,Position_Y,Position_Z
8.930162952,-27.533945,2.4423149,8.0
8.995587208,-27.565857,2.4351194,8.0
9.07062259,-27.602335,2.4263537,8.0
9.137862831,-27.63491,2.4180343,8.0
9.211847579,-27.670618,2.4083753,8.0
9.285569382,-27.706055,2.398226,8.0
9.352632363,-27.738155,2.3885405,8.0
9.422415384,-27.77142,2.378006,8.0
9.497532543,-27.807056,2.3661487,8.0
9.563312822,-27.838114,2.3553267,8.0
9.623448365,-27.86638,2.3450766,8.0
9.688008,-27.896587,2.3336945,8.0
9.743493689,-27.92243,2.3236015,8.0
9.814764405,-27.955456,2.3102176,8.0
9.883588046,-27.987164,2.2968476,8.0
9.955744682,-28.020206,2.2823627,8.0
10.039549002,-28.058315,2.2649434,8.0
10.105398681,-28.088053,2.2508094,8.0
10.18691655,-28.124601,2.2327719,8.0
10.247535447,-28.151588,2.2189739,8.0
10.306680634,-28.177755,2.2051964,8.0
10.378189802,-28.209171,2.1881275,8.0
10.445971954,-28.238724,2.1715353,8.0
10.508546585,-28.265802,2.1558628,8.0
10.568851318,-28.291712,2.1404397,8.0
10.629420778,-28.317545,2.1246352,8.0
10.688035004,-28.342361,2.109044,8.0
10.746665664,-28.366999,2.093159,8.0
10.82107843,-28.397999,2.0725834,8.0
10.891625243,-28.427101,2.0526528,8.0
10.95131221,-28.451502,2.0354712,8.0
11.022701782,-28.480415,2.01454,8.0
11.088877238,-28.506947,1.9947706,8.0
11.163476282,-28.53654,1.9720662,8.0
11.244177868,-28.568169,1.9470103,8.0
11.311273487,-28.594152,1.9257922,8.0
11.394285503,-28.625904,1.8990613,8.0
11.466094676,-28.653011,1.875515,8.0
11.551728263,-28.684887,1.846931,8.0
11.626365879,-28.712269,1.8215747,8.0
11.694011487,-28.736755,1.7982434,8.0
11.767399758,-28.762962,1.7725588,8.0
11.835495182,-28.786938,1.7483855,8.0
11.897462297,-28.80847,1.7261053,8.0
11.968778788,-28.832905,1.7001362,8.0
12.048890513,-28.859907,1.6705518,8.0
12.129109021,-28.886469,1.6404977,8.0
12.198066752,-28.908915,1.6143256,8.0
12.270407288,-28.93207,1.5865391,8.0
12.360090276,-28.960215,1.5516315,8.0
12.431268884,-28.982103,1.52357,8.0
12.497713669,-29.002174,1.4970957,8.0
12.561864594,-29.021217,1.4712852,8.0
12.621519157,-29.038628,1.447066,8.0
12.681744664,-29.055908,1.422406,8.0
12.742405711,-29.073013,1.3973594,8.0
12.806538269,-29.090767,1.3706558,8.0
12.882934816,-29.111464,1.3385515,8.0
12.943092212,-29.127415,1.3130511,8.0
13.007397288,-29.144127,1.2855825,8.0
13.074189277,-29.161108,1.2568266,8.0
13.140172575,-29.177505,1.2281985,8.0
13.208490435,-29.194082,1.1983324,8.0
13.264659577,-29.207405,1.1736094,8.0
13.325191828,-29.221453,1.1468003,8.0
13.395967058,-29.237461,1.1152415,8.0
13.458298435,-29.25119,1.0872629,8.0
13.5235822,-29.265194,1.0577779,8.0
13.586687119,-29.278364,1.0291054,8.0
13.646363452,-29.290483,1.0018401,8.0
13.707475127,-29.302557,0.973771,8.0
13.778192426,-29.3161,0.9411079,8.0
13.843100784,-29.328121,0.9109627,8.0
13.909002897,-29.339926,0.8801987,8.0
13.979108703,-29.352036,0.84730476,8.0
14.048973392,-29.363646,0.81435865,8.0
14.107771296,-29.373058,0.7865077,8.0
14.180094202,-29.384186,0.75210124,8.0
14.249726243,-29.394428,0.718826,8.0
14.310666416,-29.403011,0.6895901,8.0
14.371121917,-29.411175,0.66048527,8.0
14.431584227,-29.418983,0.6312803,8.0
14.491701731,-29.4264,0.60215086,8.0
14.552186009,-29.433506,0.57275563,8.0
14.610106292,-29.439978,0.544528,8.0
14.683146967,-29.447672,0.5088276,8.0
14.746628397,-29.453934,0.4777112,8.0
14.816385979,-29.46036,0.44342965,8.0
14.886953352,-29.466373,0.40866253,8.0
14.97674879,-29.473314,0.3643057,8.0
15.05124859,-29.478468,0.32741374,8.0
15.133113974,-29.483496,0.28679192,8.0
15.207884669,-29.487507,0.24962223,8.0
